bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	_
partagé d' ailleurs à l' époque déjà par le rpr et et je vois que l' ump essaye de créer un faux débat sur ce sujet là alors qu' ils sont parfaitement d' accord et qu' ils voteront ensemble comme d' habitude ce traité je reprends juste une citation c' est assez drôle ça vient du bêtisier de maastricht ça a été écrit par jean pierre chevènement michel sapin	d' ailleurs à l' époque déjà par le rpr et et je vois que l' ump c' est de créer un faux débat sur ce sujet là ils sont parfaitement d' accord qu' ils voteront ensemble comme d' habitude ce traité je reprends juste une citation c' est assez drôle ça vient du bétis de maastricht écrit par jean pierre chevènement michel sapin	_
le traité de maastricht se traduira par plus de croissance plus d' emplois plus de solidarité le figaro du vingt août mille neuf cent quatre vingt douze martine aubry le douze septembre mille neuf cent quatre vingt douze	traité de maastricht se traduira par plus de croissance plus d' emplois plus de solidarité le figaro du vingt août mille neuf cents quatre vingt douze martine aubry le douze septembre mille neuf cents quatre vingt douze	_
l' europe ce sera plus d' emploi plus de protection sociale et moins d' exclusion et même bernard kouchner lui il est assez drôle	europe ce sera plus d' emplois plus de protection sociale et moins d' exclusion même bernard kouchner lui est assez drôle	_
bon fin des citations	enfin	_
le huit septembre quatre vingt douze la dernière	huit septembre quatre vingt douze la dernière	_
rit beaucoup plus mais je crois que les français pleurent parce que cette europe là c' est l' europe de l' austérité et c' est l' europe de moins de démocratie moins de souveraineté nationale parce qu' il faut rentrer dans le conte(nu)	beaucoup plus je mais je crois que les français pleurent parce que cette europe là c' est l' europe de l' austérité et c' est l' europe de moins de démocratie moins de souveraineté nationale parce qu' il faut rentrer dans le coup	_
je pense que nous sommes tous d' accord pour dire qu' il aurait fallu une rupture franche dans la stratégie européenne	je pense que nous sommes tous d' accord pour dire qu' il aurait fallu une rupture france dans la stratégie européenne	_
sur à ces rapports il aurait fallu effectivement un vrai pacte de croissance il aurait fallu renoncer à des politiques d' austérité qui plombent complétement complètement l' europe	ses rapports il aurait fallu effectivement un vrai pacte de croissance il aurait fallu renoncer à des politiques d' austérité qui plombe complètement complètement l' europe	_
et en plus des poli(tiques)	en plus	_
bce de soutenir les pays sans leur imposer comme elle le fait actuellement des politiques d' austérité le fait est le fait est	ca de soutenir les pays sans leur imposer comme elle le fait actuellement des politiques d' austérité l' argent le fait est le fait est	_
le fait est que la france n' a pas réussi malheureusement à avoir le rapport de force en europe et	le fait est que la france n' a pas réussi malheureusement à voir le rapport de force en europe et	_
parce que tous les deux sarkozy comme hollande avaient la	tous les deux sarkozy commandant avait là	_
puisse réussir à changer l' europe	réussir à changer l' europe	_
pierre lellou(che)	y a le	_
les slogans	slogan	_
attendez est ce qu' on peut juste parler des faits	attendez est ce qu' on peut juste parler des	_
cette année monsieur philippot et vous monsieur l' économiste	cette année pour vous monsieur l' économiste	_
vous ne pouvez pas ne pas savoir que la france va devoir emprunter soixante milliards c' est un déficit plus quatre vingt dix qui viennent à échéance quatre vingt dix cent en réalité on a arrêtez s' il vous plait	ne pouvez pas ne passe aux abords que la france va devoir emprunter soixante milliards de déficit plus quatre vingt dix qui viennent à échéance quatre vingt dix ans le ps s' il vous plaît	_
sans arrêt donc le problème de hollande aujourd' hui c' est quoi c' est qu' au minimum il doit aller sur les marchés chercher cent cinquante milliards d' euros l' année prochaine	arrêt dont le problème de hollande aujourd' hui c' est quoi c' est qu' au minimum il doit aller sur les marchés chercher cent cinquante milliards d' euros l' an prochain	_
si il ne tient pas les engagements de baisse des déficits et d() et d' une trajectoire vertueuse les taux d' intérêt qui sont très bas aujourd' hui vont exploser	si il ne tient pas les engagements de baisse des déficits et d' une trajectoire vertueuse les taux d' intérêt qui sont très bas aujourd' hui bon explose	_
se trouver avec des taux d' intérêt italiens ou espagnols qui va qui va tomber la	trouver avec des taux d' intérêt italien ou espagnol qui va qui va tomber	_
dette elle est détenue par les ménages japonais la dette française malheureusement est détenue par les marchés c' est ça la grande	est elle est détenue par les ménages japonais la dette française malheureusement est détenu par les marchés c' est ça la grande	_
je vous en prie juste un point pourquoi est ce que on on accuse de la france de s' être couchée face à l' allemagne là on a on a vu des livres de monsieur montebourg dénoncer l' allemagne on continue à dire qu' il y a une logique allemande	vous en prie juste un point et andré chassaigne on l' accuse de la france est couché face à l' allemagne un traité libéral là on a on a vu des livres de monsieur montebourg dénoncé l' allemagne continue à dire qu' il y a une logique allemande	_
quel c' est quoi le problème mais mais c' est quoi le problème c' est que l' allemagne elle est en excédent commercial	le montre quoi le problème mais mais c' est quoi le problème c' est que l' allemagne elle est en excédent commercial	_
c' est le premier pays exportateur du monde elle dégage des excédents elle est au plein emploi et en effet elle est contre l' idée d' aller financer à fond perdu	le premier pays que parce qu' ils veulent quelque onze elle dégage des excédents elle est au plein emploi est en effet elle est contre l' idée d' aller financée à fonds perdus	_
je propose aujourd' hui une réduction de dix pour cent du montant de l' irfm cette mesure d' exemplarité si elle est acceptée va dégager autour de quatre virgule quatre millions d' euros	je propose aujourd' hui une réduction de dix pour cent du montant de guerre fm cette mesure d' exemplarité si elle est acceptée va dégager autour de quatre virgule quatre millions d' euros	_
qui seront intégralement mobilisés en faveur de l' amélioration de la situation des assistants parlementaires j' ajoute que la possibilité	seront intégralement mobilisés en faveur de l' amélioration de la situation des assistants parlementaires j' ajoute que la possibilité	_
qui existait de basculer le montant non utilisé du crédit collaborateur sur l' irfm sera supprimée	qui existait de basculer le montant non utilisés du crédit collaborateur sur l' irfm sera supprimée	_
alors c' est un débat un peu technique on en fera probablement un débat entier mais ce qui était intéressant c' est que certains députés disent faut que ça soit totalement transparent là le président je vous entends rené dosière parce que ça concerne les les députés eric woerth on réduit	c' est un débat un peu technique on fera probablement un débat entier mais ce qui était intéressant c' est que certains députés se dit que ce soit totalement transparent là le président je vous entendrez nos hier parce que ça concerne les les députés eric woerth on réduit	_
de dix pour cent on passe de cinq mille neuf moins dix pour cent mais ça règle pas du tout la question de la transparence de ce de cette somme les députés sont toujours libres de d' en disposer comme ils le souhaitent ou à peu près	de dix pour cent on passe de cinq mille neuf moins de dix pour cent mais sa règle pas du tout la question de la transparence de ces de cette somme on les députés sont toujours libres de d' en disposer comme ils le souhaitent ou à peu près	_
l' indemnité représentative de frais de mandat doit servir aux frais professionnels des députés bon	l' indemnité représentative de frais de mandat doit servir aux frais professionnels des députés	_
vous savez en théorie je ne vois pas pourquoi d' office on suspecte que ce n' est pas le cas parce qu' on ne le sait pas et d' ailleurs le président de l' assemblée a demandé au déontologue de l' assemblée au fond de de de faire le point là dessus	savez en théorie je ne vois pas pourquoi d' office on suspecte et que ça n' est pas le cas parce qu' on ne laissait pas et d' ailleurs le président de l' assemblée a demandé aux déontologie de l' assemblée au fond de de de faire le point là dessus	_
